col_name,feature_importance_vals
ptf_lag_1h,807.3723
gas_generation,218.60811
ptf_rolling_avg_168h,119.59547
renewable_ratio,94.16727
ptf_lag_168h,82.62536
total_generation,78.23851
ptf_lag_24h,53.86183
hour_cos,49.10486
ptf_rolling_max_24h,43.991512
hour_sin,43.065376
solar_radiation,40.219143
hour_of_day,33.15406
hydro_generation,32.843758
ptf_rolling_min_24h,26.03518
wind_generation,23.267712
ptf_rolling_avg_24h,23.17023
day_of_week,21.388117
solar_generation,17.69434
month_of_year,15.34514
forecast_consumption,9.852817
consumption_error,8.850552
humidity,7.363703
temperature,6.3955956
wind_speed,5.9190745
actual_consumption,5.054814
is_weekend,3.3172376
is_holiday,0.74210376
